fiscalDateEnding;reportedCurrency;totalAssets;totalCurrentAssets;cashAndCashEquivalentsAtCarryingValue;totalLiabilities;totalCurrentLiabilities;totalShareholderEquity;commonStockSharesOutstanding;symbol;industry;grossProfit;totalRevenue;operatingIncome;sellingGeneralAndAdministrative;researchAndDevelopment;ebit;netIncome;fx_rate;stock_price;year_average;last_price;365 rolling;fiscal_year
2024-12-31;USD;624894000000.0;190867000000.0;78779000000.0;338924000000.0;179431000000.0;285970000000.0;10721000000;AMZN;e-commerce;311671000000.0;637959000000.0;68593000000.0;11359000000.0;88544000000.0;71020000000.0;59248000000.0;1.0;219.39;184.77;212.1;0.0;2024
2023-12-31;USD;527854000000.0;172351000000.0;73387000000.0;325979000000.0;164917000000.0;201875000000.0;10492000000;AMZN;e-commerce;270046000000.0;574785000000.0;36852000000.0;11816000000.0;85622000000.0;36852000000.0;30425000000.0;1.0;151.94;121.39;212.1;0.0;2023
2022-12-31;USD;462675000000.0;146791000000.0;53888000000.0;316632000000.0;155393000000.0;146043000000.0;10189000000;AMZN;e-commerce;225152000000.0;513983000000.0;12248000000.0;11891000000.0;73213000000.0;12248000000.0;-2722000000.0;1.0;84.0;1300.83;212.1;0.0;2022
2021-12-31;USD;420549000000.0;161580000000.0;36220000000.0;282304000000.0;142266000000.0;138245000000.0;10300000000;AMZN;e-commerce;197478000000.0;469822000000.0;24879000000.0;8823000000.0;56052000000.0;24879000000.0;33364000000.0;1.0;3334.34;3342.85;212.1;0.0;2021
2020-12-31;USD;321195000000.0;132733000000.0;42122000000.0;227791000000.0;126385000000.0;93404000000.0;10200000000;AMZN;e-commerce;152757000000.0;386064000000.0;22899000000.0;6668000000.0;42740000000.0;22899000000.0;21331000000.0;1.0;3256.93;2673.13;212.1;0.0;2020
2019-12-31;USD;225248000000.0;96334000000.0;36092000000.0;163188000000.0;87812000000.0;62060000000.0;10080000000;AMZN;e-commerce;114986000000.0;280522000000.0;14541000000.0;5203000000.0;35931000000.0;14541000000.0;11588000000.0;1.0;1847.84;1787.67;212.1;0.0;2019
2018-12-31;USD;162648000000.0;75101000000.0;31750000000.0;119099000000.0;68391000000.0;43549000000.0;10000000000;AMZN;e-commerce;93731000000.0;232887000000.0;12421000000.0;4336000000.0;28837000000.0;12421000000.0;10073000000.0;1.0;1501.97;1637.15;212.1;0.0;2018
2017-12-31;USD;131310000000.0;60197000000.0;20522000000.0;103601000000.0;57883000000.0;27709000000.0;9860000000;AMZN;e-commerce;65932000000.0;177866000000.0;4106000000.0;3674000000.0;22620000000.0;4106000000.0;3033000000.0;1.0;1169.47;967.83;212.1;0.0;2017
2016-12-31;USD;83402000000.0;45781000000.0;19334000000.0;64117000000.0;43816000000.0;19285000000.0;9680000000;AMZN;e-commerce;14018000000.0;135987000000.0;4186000000.0;2432000000.0;16085000000.0;4186000000.0;2371000000.0;1.0;749.87;698.26;212.1;0.0;2016
2015-12-31;USD;64747000000.0;35705000000.0;15890000000.0;51363000000.0;33887000000.0;13384000000.0;9540000000;AMZN;e-commerce;9405000000.0;107006000000.0;2233000000.0;1747000000.0;12540000000.0;2233000000.0;596000000.0;1.0;675.89;476.94;212.1;0.0;2015
2014-12-31;USD;54505000000.0;31327000000.0;14557000000.0;43764000000.0;28089000000.0;10741000000.0;9240000000;AMZN;e-commerce;6195000000.0;88988000000.0;178000000.0;1552000000.0;9275000000.0;178000000.0;-241000000.0;1.0;310.35;332.83;212.1;0.0;2014
2013-12-31;USD;40159000000.0;24625000000.0;8658000000.0;30413000000.0;22980000000.0;9746000000.0;9300000000;AMZN;e-commerce;5121000000.0;74452000000.0;745000000.0;1129000000.0;6565000000.0;745000000.0;274000000.0;1.0;398.79;298.37;212.1;0.0;2013
2012-12-31;USD;32555000000.0;21296000000.0;8084000000.0;24363000000.0;19002000000.0;8192000000.0;9060000000;AMZN;e-commerce;4139000000.0;61093000000.0;676000000.0;896000000.0;4564000000.0;676000000.0;-39000000.0;1.0;250.87;220.49;212.1;0.0;2012
2011-12-31;USD;25278000000.0;17490000000.0;5269000000.0;17521000000.0;14896000000.0;7757000000.0;9220000000;AMZN;e-commerce;3304000000.0;48077000000.0;862000000.0;658000000.0;2909000000.0;862000000.0;631000000.0;1.0;173.1;196.51;212.1;0.0;2011
